Step,NextStep,PlantName,,Common Name - Genus epithet - Family
1,2,NA,,
1,31,NA,,
2,NA,Phoradendron,,American Mistletoe
2,3,NA,,
3,4,NA,,
3,15,NA,,
4,NA,Pinus,,Pine
4,5,NA,,
5,6,NA,,
5,13,NA,,
6,NA,Picea,,Spruce
6,7,NA,,
7,8,NA,,
7,9,NA,,
8,NA,Gaultheria,,Creeping Snowberry
8,NA,Vaccinum,,Cranberry
9,10,NA,,
9,12,NA,,
10,NA,Hudsonia   ,,St. Johns Wart 
10,11,NA,,
11,NA,Taxus,,Yew
11,NA,Pachistima,,Mountain-Lover
12,NA,Abies,,Fir
12,NA,Tsuga,,Hemlock
13,14,NA,,
13,NA,Thuja,,Arborvitae
14,NA,Chamaecyparis,,White Cedar
14,NA,Juniperus,,Juniper
15,NA,Lonicera,,Trumpet Honeysuckle
15,16,NA,,
16,17,NA,,
16,18,NA,,
17,NA,Smilax,,Laurel-leaf Greenbrier
17,NA,Hedera,,English Ivy
18,23,NA,,
18,19,NA,,
19,NA,Quercus,,Live Oak
19,20,NA,,
20,NA,Magnolia,,Sweetbay
20,21,NA,,
21,NA,Ledum,,Labrador-Tea
21,22,NA,,
22,NA,Chamaedaphne,,Leatherleaf
22,24,NA,,
23,NA,Epigaea,,Trailing Arbutus
23,NA,Gualtheria,,Teaberry
24,NA,Andromeda,,
24,25,NA,,
25,26,NA,,
25,29,NA,,
26,NA,Pieris,,
26,27,NA,,
27,NA,Arctostaphylos,,
27,28,NA,,
28,NA,Rhodedendron,,
28,NA,Kalmia,,
29,NA,Ilex,,
29,30,NA,,
30,NA,Gaylussacia,,
30,NA,Leucothoe,,
31,NA,Taxodium,,
31,32,NA,,
32,33,NA,,
32,89,NA,,
33,34,NA,,
33,38,NA,,
34,NA,Catalpa,,
34,35,NA,,
35,NA,Cephalanthus,,
35,36,NA,,
36,NA,Diervilla,,
36,37,NA,,
37,NA,Hydrangea,,
37,NA,Acer,,
38,39,NA  ,,
38,42,NA  ,,
39,40,NA  ,,
39,NA,Lonicera  ,,
40,41,NA  ,,
40,NA,Campsis  ,,
41,NA,Bignonia  ,,
41,NA,Clematis  ,,
42,43,NA  ,,
42,NA,Rhamnus  ,,
43,44,NA  ,,
43,76,NA  ,,
44,45,NA  ,,
44,48,NA  ,,
45,46,NA  ,,
45,47,NA  ,,
46,NA,Acer  ,,
46,NA,Aesculus  ,,
47,NA,Sambucus  ,,
47,NA,Hydrangea  ,,
